subject_id,model,n_test,n_pos_test,elapsed_sec,accuracy,f1,roc_auc
S001,LogReg,179,81,0.02,0.8547486033519553,0.8088235294117647,1.0
S001,RandomForest,179,81,0.21,0.9776536312849162,0.9746835443037974,0.9998740236835475
S001,LightGBM,179,81,0.76,0.9720670391061452,0.9681528662420382,1.0
S002,LogReg,128,0,0.01,0.8046875,0.0,
S002,RandomForest,128,0,0.22,0.8359375,0.0,
S002,LightGBM,128,0,0.75,0.78125,0.0,
S003,LogReg,229,33,0.01,0.2052401746724891,0.18018018018018017,0.4414038342609771
S003,RandomForest,229,33,0.21,0.14410480349344978,0.25190839694656486,0.9998453927025356
S003,LightGBM,229,33,0.7,0.2314410480349345,0.2727272727272727,0.9984539270253555
S004,LogReg,127,29,0.01,0.7716535433070866,0.0,0.9996481351161154
S004,RandomForest,127,29,0.22,0.7716535433070866,0.0,0.7325826882477129
S004,LightGBM,127,29,0.68,0.7716535433070866,0.0,1.0
S005,LogReg,198,100,0.01,0.8787878787878788,0.8636363636363636,1.0
S005,RandomForest,198,100,0.22,0.9242424242424242,0.918918918918919,1.0
S005,LightGBM,198,100,0.76,0.9494949494949495,0.9484536082474226,0.9977551020408164
S006,LogReg,98,0,0.01,0.9081632653061225,0.0,
S006,RandomForest,98,0,0.22,0.9183673469387755,0.0,
S006,LightGBM,98,0,0.75,0.9081632653061225,0.0,
S007,LogReg,17,0,0.01,1.0,0.0,
S007,RandomForest,17,0,0.22,1.0,0.0,
S007,LightGBM,17,0,0.77,0.8823529411764706,0.0,
S009,LogReg,312,34,0.01,0.9102564102564102,0.7083333333333334,1.0
S009,RandomForest,312,34,0.23,0.8910256410256411,0.0,0.9713288192975031
S009,LightGBM,312,34,0.72,0.8974358974358975,0.1111111111111111,0.9969318662716885
S010,LogReg,276,34,0.01,0.8913043478260869,0.21052631578947367,0.9917355371900827
S010,RandomForest,276,34,0.23,0.9927536231884058,0.9696969696969697,1.0
S010,LightGBM,276,34,0.77,0.9384057971014492,0.8,0.9999999999999999
S011,LogReg,139,41,0.01,1.0,1.0,1.0
S011,RandomForest,139,41,0.22,0.8848920863309353,0.7575757575757576,1.0
S011,LightGBM,139,41,0.84,0.8920863309352518,0.7761194029850746,0.9999999999999999
S012,LogReg,119,21,0.01,0.6974789915966386,0.5384615384615384,1.0
S012,RandomForest,119,21,0.22,0.9747899159663865,0.9333333333333333,1.0
S012,LightGBM,119,21,0.8,0.9159663865546218,0.8076923076923077,1.0
S013,LogReg,221,51,0.01,0.8144796380090498,0.32786885245901637,0.9985005767012687
S013,RandomForest,221,51,0.21,0.7692307692307693,0.0,0.9982698961937716
S013,LightGBM,221,51,0.72,0.7692307692307693,0.0,1.0
S014,LogReg,183,49,0.01,0.7814207650273224,0.3103448275862069,1.0
S014,RandomForest,183,49,0.21,0.9289617486338798,0.8470588235294118,0.9998477002741395
S014,LightGBM,183,49,0.76,0.912568306010929,0.8048780487804879,0.9952787084983247
