tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt2_ENH_noabs,0.1,0.9,S001,0,378.61,6.31,1.0,208
lt2_ENH_noabs,0.1,0.9,S002,0,376.8,6.28,1.0,154
lt2_ENH_noabs,0.1,0.9,S003,1,342.23,5.704,0.5572,271
lt2_ENH_noabs,0.1,0.9,S004,0,374.69,6.245,0.9645,169
lt2_ENH_noabs,0.1,0.9,S005,0,345.19,5.753,0.5667,240
lt2_ENH_noabs,0.1,0.9,S006,0,373.47,6.224,0.9568,139
lt2_ENH_noabs,0.1,0.9,S007,0,370.97,6.183,1.0,17
lt2_ENH_noabs,0.1,0.9,S008,0,376.32,6.272,1.0,148
lt2_ENH_noabs,0.1,0.9,S009,1,367.98,6.133,0.8785,354
lt2_ENH_noabs,0.1,0.9,S010,1,370.95,6.182,0.9025,318
lt2_ENH_noabs,0.1,0.9,S011,0,377.62,6.294,1.0,181
lt2_ENH_noabs,0.1,0.9,S012,0,375.24,6.254,0.9814,161
lt2_ENH_noabs,0.1,0.9,S013,1,374.89,6.248,0.943,263
lt2_ENH_noabs,0.1,0.9,S014,0,378.74,6.312,1.0,225
lt2_ENH_noabs,0.1,0.9,S016,0,373.67,6.228,0.9462,186
lt2_ENH_noabs,0.1,0.9,S017,1,377.61,6.294,0.9817,219
lt2_ENH_noabs,0.1,0.9,S018,0,358.74,5.979,0.5062,81
lt2_ENH_noabs,0.1,0.9,S019,1,378.75,6.313,0.9716,317
lt2_ENH_noabs,0.2,0.8,S001,0,292.39,4.873,0.9712,208
lt2_ENH_noabs,0.2,0.8,S002,0,291.2,4.853,0.9805,154
lt2_ENH_noabs,0.2,0.8,S003,1,254.98,4.25,0.1771,271
lt2_ENH_noabs,0.2,0.8,S004,0,291.2,4.853,0.9645,169
lt2_ENH_noabs,0.2,0.8,S005,0,273.36,4.556,0.5167,240
lt2_ENH_noabs,0.2,0.8,S006,0,288.18,4.803,0.8777,139
lt2_ENH_noabs,0.2,0.8,S007,0,285.45,4.757,0.9412,17
lt2_ENH_noabs,0.2,0.8,S008,0,291.51,4.858,1.0,148
lt2_ENH_noabs,0.2,0.8,S009,1,279.31,4.655,0.7034,354
lt2_ENH_noabs,0.2,0.8,S010,1,282.06,4.701,0.7453,318
lt2_ENH_noabs,0.2,0.8,S011,0,292.53,4.875,1.0,181
lt2_ENH_noabs,0.2,0.8,S012,0,287.55,4.792,0.8571,161
lt2_ENH_noabs,0.2,0.8,S013,1,289.87,4.831,0.8707,263
lt2_ENH_noabs,0.2,0.8,S014,0,293.93,4.899,1.0,225
lt2_ENH_noabs,0.2,0.8,S016,0,284.58,4.743,0.7796,186
lt2_ENH_noabs,0.2,0.8,S017,1,291.41,4.857,0.9315,219
lt2_ENH_noabs,0.2,0.8,S018,0,276.89,4.615,0.2222,81
lt2_ENH_noabs,0.2,0.8,S019,1,291.32,4.855,0.8896,317
