subject_id,target,set_base,set_bc,mae_base_min,mae_bc_min,delta_min,improved
S002,lt1,EMG,EMG+BC,4.2356,5.2865,1.0509,False
S003,lt1,EMG,EMG+BC,3.3813,3.1834,-0.1979,True
S004,lt1,EMG,EMG+BC,2.873,2.4582,-0.4148,True
S006,lt1,EMG,EMG+BC,1.9006,3.0906,1.1901,False
S008,lt1,EMG,EMG+BC,2.4087,3.7281,1.3194,False
S009,lt1,EMG,EMG+BC,4.9132,4.8262,-0.087,True
S010,lt1,EMG,EMG+BC,2.3423,2.4788,0.1364,False
S011,lt1,EMG,EMG+BC,2.4902,1.1702,-1.32,True
S013,lt1,EMG,EMG+BC,2.1257,1.3464,-0.7793,True
S014,lt1,EMG,EMG+BC,2.6138,2.113,-0.5007,True
S002,lt1,EMG+NIRS,EMG+NIRS+BC,3.7649,4.8617,1.0967,False
S003,lt1,EMG+NIRS,EMG+NIRS+BC,2.4258,3.0443,0.6185,False
S004,lt1,EMG+NIRS,EMG+NIRS+BC,2.7724,2.8662,0.0938,False
S006,lt1,EMG+NIRS,EMG+NIRS+BC,1.319,1.636,0.317,False
S008,lt1,EMG+NIRS,EMG+NIRS+BC,3.6185,3.3936,-0.225,True
S009,lt1,EMG+NIRS,EMG+NIRS+BC,4.4074,4.2097,-0.1977,True
S010,lt1,EMG+NIRS,EMG+NIRS+BC,2.9934,2.761,-0.2324,True
S011,lt1,EMG+NIRS,EMG+NIRS+BC,2.1449,1.3562,-0.7887,True
S013,lt1,EMG+NIRS,EMG+NIRS+BC,2.1966,1.9113,-0.2853,True
S014,lt1,EMG+NIRS,EMG+NIRS+BC,2.4814,3.1784,0.697,False
S002,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,3.9923,4.2777,0.2853,False
S003,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,3.2574,3.0209,-0.2365,True
S004,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,0.9914,1.2256,0.2342,False
S006,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,1.3533,1.6617,0.3084,False
S008,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,3.2548,3.2291,-0.0257,True
S009,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,2.972,2.6669,-0.3051,True
S010,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,1.4649,1.5167,0.0518,False
S011,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,2.3026,1.0622,-1.2403,True
S013,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,1.7138,0.8831,-0.8308,True
S014,lt1,EMG+NIRS+HRV,EMG+NIRS+HRV+BC,1.6539,2.1567,0.5028,False
