arch,step,variant,base,cwt,target,feature_set,mae_base,mae_cwt,delta,delta_pct
Stateless LSTM,шаг 30 с,noabs,v0301,v0302,lt1,EMG,4.2337,4.547,0.3133,7.4
Stateless LSTM,шаг 30 с,noabs,v0301,v0302,lt1,EMG+NIRS,3.5005,3.9175,0.417,11.91
Stateless LSTM,шаг 30 с,noabs,v0301,v0302,lt1,EMG+NIRS+HRV,3.302,3.8272,0.5252,15.91
Stateless LSTM,шаг 30 с,noabs,v0301,v0302,lt2,EMG,3.6261,3.3241,-0.302,-8.33
Stateless LSTM,шаг 30 с,noabs,v0301,v0302,lt2,EMG+NIRS,3.4089,3.0743,-0.3346,-9.82
Stateless LSTM,шаг 30 с,noabs,v0301,v0302,lt2,EMG+NIRS+HRV,2.7714,2.8236,0.0522,1.88
Stateless LSTM,шаг 15 с,noabs,v0303,v0304,lt1,EMG,4.3415,4.357,0.0155,0.36
Stateless LSTM,шаг 15 с,noabs,v0303,v0304,lt1,EMG+NIRS,3.6552,3.9248,0.2696,7.38
Stateless LSTM,шаг 15 с,noabs,v0303,v0304,lt1,EMG+NIRS+HRV,3.2404,3.6492,0.4088,12.62
Stateless LSTM,шаг 15 с,noabs,v0303,v0304,lt2,EMG,3.5369,3.2342,-0.3027,-8.56
Stateless LSTM,шаг 15 с,noabs,v0303,v0304,lt2,EMG+NIRS,3.3424,2.9606,-0.3818,-11.42
Stateless LSTM,шаг 15 с,noabs,v0303,v0304,lt2,EMG+NIRS+HRV,3.2132,2.7546,-0.4586,-14.27
Stateless LSTM,шаг 5 с,noabs,v0305,v0306,lt1,EMG,4.0135,5.0139,1.0004,24.93
Stateless LSTM,шаг 5 с,noabs,v0305,v0306,lt1,EMG+NIRS,3.6834,3.9366,0.2532,6.87
Stateless LSTM,шаг 5 с,noabs,v0305,v0306,lt1,EMG+NIRS+HRV,3.5938,3.8205,0.2267,6.31
Stateless LSTM,шаг 5 с,noabs,v0305,v0306,lt2,EMG,3.4866,3.3091,-0.1775,-5.09
Stateless LSTM,шаг 5 с,noabs,v0305,v0306,lt2,EMG+NIRS,3.4458,3.0474,-0.3984,-11.56
Stateless LSTM,шаг 5 с,noabs,v0305,v0306,lt2,EMG+NIRS+HRV,2.8409,2.6887,-0.1522,-5.36
Stateful LSTM,шаг 30 с,noabs,v0307,v0308,lt1,EMG,4.2259,4.5828,0.3569,8.45
Stateful LSTM,шаг 30 с,noabs,v0307,v0308,lt1,EMG+NIRS,4.0996,4.2425,0.1429,3.49
Stateful LSTM,шаг 30 с,noabs,v0307,v0308,lt1,EMG+NIRS+HRV,3.8722,4.0181,0.1459,3.77
Stateful LSTM,шаг 30 с,noabs,v0307,v0308,lt2,EMG,3.9989,3.6632,-0.3357,-8.39
Stateful LSTM,шаг 30 с,noabs,v0307,v0308,lt2,EMG+NIRS,3.7583,3.4482,-0.3101,-8.25
Stateful LSTM,шаг 30 с,noabs,v0307,v0308,lt2,EMG+NIRS+HRV,3.3349,3.2133,-0.1216,-3.65
Stateful LSTM,шаг 15 с,noabs,v0309,v0310,lt1,EMG,4.5583,4.7549,0.1966,4.31
Stateful LSTM,шаг 15 с,noabs,v0309,v0310,lt1,EMG+NIRS,4.0674,4.1634,0.096,2.36
Stateful LSTM,шаг 15 с,noabs,v0309,v0310,lt1,EMG+NIRS+HRV,4.1259,4.2619,0.136,3.3
Stateful LSTM,шаг 15 с,noabs,v0309,v0310,lt2,EMG,4.5025,4.1654,-0.3371,-7.49
Stateful LSTM,шаг 15 с,noabs,v0309,v0310,lt2,EMG+NIRS,3.9753,3.0025,-0.9728,-24.47
Stateful LSTM,шаг 15 с,noabs,v0309,v0310,lt2,EMG+NIRS+HRV,3.383,3.3313,-0.0517,-1.53
Stateful LSTM,шаг 5 с,noabs,v0311,v0312,lt1,EMG,4.5723,4.6779,0.1056,2.31
Stateful LSTM,шаг 5 с,noabs,v0311,v0312,lt1,EMG+NIRS,3.7976,4.8409,1.0433,27.47
Stateful LSTM,шаг 5 с,noabs,v0311,v0312,lt1,EMG+NIRS+HRV,3.8974,4.1271,0.2297,5.89
Stateful LSTM,шаг 5 с,noabs,v0311,v0312,lt2,EMG,4.3572,4.154,-0.2032,-4.66
Stateful LSTM,шаг 5 с,noabs,v0311,v0312,lt2,EMG+NIRS,4.0743,4.1608,0.0865,2.12
Stateful LSTM,шаг 5 с,noabs,v0311,v0312,lt2,EMG+NIRS+HRV,3.4664,3.1015,-0.3649,-10.53
Attention LSTM,шаг 30 с,noabs,v0313,v0314,lt1,EMG,3.6844,3.7397,0.0553,1.5
Attention LSTM,шаг 30 с,noabs,v0313,v0314,lt1,EMG+NIRS,3.2618,3.227,-0.0348,-1.07
Attention LSTM,шаг 30 с,noabs,v0313,v0314,lt1,EMG+NIRS+HRV,3.0751,3.1878,0.1127,3.66
Attention LSTM,шаг 15 с,noabs,v0317,v0318,lt1,EMG,3.9125,4.2206,0.3081,7.87
Attention LSTM,шаг 15 с,noabs,v0317,v0318,lt1,EMG+NIRS,3.4389,4.2886,0.8497,24.71
Attention LSTM,шаг 15 с,noabs,v0317,v0318,lt1,EMG+NIRS+HRV,3.1573,3.9634,0.8061,25.53
Attention LSTM,шаг 15 с,noabs,v0317,v0318,lt2,EMG,3.0978,3.1159,0.0181,0.58
Attention LSTM,шаг 15 с,noabs,v0317,v0318,lt2,EMG+NIRS,3.2927,2.995,-0.2977,-9.04
Attention LSTM,шаг 15 с,noabs,v0317,v0318,lt2,EMG+NIRS+HRV,2.8894,2.6929,-0.1965,-6.8
